"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,202,"SRB","Serbia",1,"Šumadijski","RS.SU",NA,"","Okrug","District","<U+0428><U+0443><U+043C><U+0430><U+0434><U+0438><U+0458><U+0441><U+043A><U+0438>","Šumadija"
2,202,"SRB","Serbia",2,"Borski","RS.BO",NA,"","Okrug","District","<U+0411><U+043E><U+0440><U+0441><U+043A><U+0438>","Bor"
3,202,"SRB","Serbia",3,"Branicevski","RS.BR",NA,"","Okrug","District","<U+0411><U+0440><U+0430><U+043D><U+0438><U+0447><U+0435><U+0432><U+0441><U+043A><U+0438>","Branicevo"
4,202,"SRB","Serbia",4,"Grad Beograd","RS.BG",NA,"","Grad","City","<U+0411><U+0435><U+043E><U+0433><U+0440><U+0430><U+0434>","Belgrade"
5,202,"SRB","Serbia",5,"Jablanicki","RS.JA",NA,"","Okrug","District","<U+0408><U+0430><U+0431><U+043B><U+0430><U+043D><U+0438><U+0447><U+043A><U+0438>","Jablanica"
6,202,"SRB","Serbia",6,"Južno-Backi","RS.JC",NA,"","Okrug","District","<U+0408><U+0443><U+0436><U+043D><U+043E><U+0431><U+0430><U+0447><U+043A><U+0438>","South Backa"
7,202,"SRB","Serbia",7,"Južno-Banatski","RS.JN",NA,"","Okrug","District","<U+0408><U+0443><U+0436><U+043D><U+043E><U+0431><U+0430><U+043D><U+0430><U+0442><U+0441><U+043A><U+0438>","South Banat"
8,202,"SRB","Serbia",8,"Kolubarski","RS.KB",NA,"","Okrug","District","<U+041A><U+043E><U+043B><U+0443><U+0431><U+0430><U+0440><U+0441><U+043A><U+0438>","Kolubara"
9,202,"SRB","Serbia",9,"Macvanski","RS.MA",NA,"","Okrug","District","<U+041C><U+0430><U+0447><U+0432><U+0430><U+043D><U+0441><U+043A><U+0438>","Macva"
10,202,"SRB","Serbia",10,"Moravicki","RS.MR",NA,"","Okrug","District","<U+041C><U+043E><U+0440><U+0430><U+0432><U+0438><U+0447><U+043A><U+0438>","Moravica|Morava"
11,202,"SRB","Serbia",11,"Nišavski","RS.NS",NA,"","Okrug","District","<U+041D><U+0438><U+0448><U+0430><U+0432><U+0441><U+043A><U+0438>","Nišava"
12,202,"SRB","Serbia",12,"Pcinjski","RS.PC",NA,"","Okrug","District","<U+041F><U+0447><U+0438><U+045A><U+0441><U+043A><U+0438>","Pcinja"
13,202,"SRB","Serbia",13,"Pirotski","RS.PI",NA,"","Okrug","District","<U+041F><U+0438><U+0440><U+043E><U+0442><U+0441><U+043A><U+0438>","Pirot"
14,202,"SRB","Serbia",14,"Podunavski","RS.PD",NA,"","Okrug","District","<U+041F><U+043E><U+0434><U+0443><U+043D><U+0430><U+0432><U+0441><U+043A><U+0438>","Podunavlje|Danube"
15,202,"SRB","Serbia",15,"Pomoravski","RS.PM",NA,"","Okrug","District","<U+041F><U+043E><U+043C><U+043E><U+0440><U+0430><U+0432><U+0441><U+043A><U+0438>","Pomoravlje"
16,202,"SRB","Serbia",16,"Raški","RS.RS",NA,"","Okrug","District","<U+0420><U+0430><U+0448><U+043A><U+0438>","Raška"
17,202,"SRB","Serbia",17,"Rasinski","RS.RN",NA,"","Okrug","District","<U+0420><U+0430><U+0441><U+0438><U+043D><U+0441><U+043A><U+0438>","Rasina"
18,202,"SRB","Serbia",18,"Severno-Backi","RS.SC",NA,"","Okrug","District","<U+0421><U+0435><U+0432><U+0435><U+0440><U+043D><U+043E><U+0431><U+0430><U+0447><U+043A><U+0438>","North Backa"
19,202,"SRB","Serbia",19,"Severno-Banatski","RS.SN",NA,"","Okrug","District","<U+0421><U+0435><U+0432><U+0435><U+0440><U+043D><U+043E><U+0431><U+0430><U+043D><U+0430><U+0442><U+0441><U+043A><U+0438>","North Banat"
20,202,"SRB","Serbia",20,"Srednje-Banatski","RS.SD",NA,"","Okrug","District","<U+0421><U+0440><U+0435><U+0434><U+045A><U+0435><U+0431><U+0430><U+043D><U+0430><U+0442><U+0441><U+043A><U+0438>","Central Banat"
21,202,"SRB","Serbia",21,"Sremski","RS.SM",NA,"","Okrug","District","<U+0421><U+0440><U+0435><U+043C><U+0441><U+043A><U+0438>","Srem"
22,202,"SRB","Serbia",22,"Toplicki","RS.TO",NA,"","Okrug","District","<U+0422><U+043E><U+043F><U+043B><U+0438><U+0447><U+043A><U+0438>","Toplica"
23,202,"SRB","Serbia",23,"Zajecarski","RS.ZJ",NA,"","Okrug","District","<U+0417><U+0430><U+0458><U+0435><U+0447><U+0430><U+0440><U+0441><U+043A><U+0438>","Zajecar"
24,202,"SRB","Serbia",24,"Zapadno-Backi","RS.ZC",NA,"","Okrug","District","<U+0417><U+0430><U+043F><U+0430><U+0434><U+043D><U+043E><U+0431><U+0430><U+0447><U+043A><U+0438>","West Backa"
25,202,"SRB","Serbia",25,"Zlatiborski","RS.ZL",NA,"","Okrug","District","<U+0417><U+043B><U+0430><U+0442><U+0438><U+0431><U+043E><U+0440><U+0441><U+043A><U+0438>","Zlatibor"
